"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"735","feat_326_spec_4",326,175.02483,8.467,9,5871,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoic acid",175.02483,8.467,FALSE,NA,"F326_S4","(4S)-4,6-Dihydroxy-2,5-dioxohexanoic acid
175.02 m/z @ 8.47 min",NA,2,3.58823529411765
"736","feat_327_spec_1",327,415.13617,5.063,18,2562,NA,415.13617,5.063,TRUE,314,"F327_S1","Feature 327
415.14 m/z @ 5.06 min
Rank: 314","F327",65,7.05882352941176
"737","feat_327_spec_2",327,415.13617,5.063,15,2562,NA,415.13617,5.063,TRUE,314,"F327_S2","Feature 327
415.14 m/z @ 5.06 min
Rank: 314","F327",66,6.64705882352941
"738","feat_327_spec_3",327,415.13617,5.063,24,2562,NA,415.13617,5.063,TRUE,314,"F327_S3","Feature 327
415.14 m/z @ 5.06 min
Rank: 314","F327",65,7.88235294117647
"739","feat_327_spec_4",327,415.13617,5.063,16,2562,NA,415.13617,5.063,TRUE,314,"F327_S4","Feature 327
415.14 m/z @ 5.06 min
Rank: 314","F327",66,6.7843137254902
"744","feat_330_spec_1",330,178.067,5.393,21,4459,NA,178.067,5.393,FALSE,NA,"F330_S1","Feature 330
178.07 m/z @ 5.39 min",NA,15,4.76470588235294
"745","feat_330_spec_2",330,178.067,5.393,15,4459,NA,178.067,5.393,FALSE,NA,"F330_S2","Feature 330
178.07 m/z @ 5.39 min",NA,67,4.17647058823529
"746","feat_330_spec_3",330,178.067,5.393,11,4459,NA,178.067,5.393,FALSE,NA,"F330_S3","Feature 330
178.07 m/z @ 5.39 min",NA,15,3.7843137254902
"747","feat_330_spec_4",330,178.067,5.393,10,4459,NA,178.067,5.393,FALSE,NA,"F330_S4","Feature 330
178.07 m/z @ 5.39 min",NA,15,3.68627450980392
"750","feat_335_spec_1",335,179.03506,8.47,18,3153,"4-Hydroxyphenylpyruvate",179.03506,8.47,FALSE,NA,"F335_S1","4-Hydroxyphenylpyruvate
179.04 m/z @ 8.47 min",NA,2,4.47058823529412
"751","feat_335_spec_2",335,179.03506,8.47,25,3153,"4-Hydroxyphenylpyruvate",179.03506,8.47,FALSE,NA,"F335_S2","4-Hydroxyphenylpyruvate
179.04 m/z @ 8.47 min",NA,2,5.15686274509804
"757","feat_339_spec_4",339,180.01641,4.345,11,1360,NA,180.01641,4.345,FALSE,NA,"F339_S4","Feature 339
180.02 m/z @ 4.34 min",NA,68,3.7843137254902
"758","feat_340_spec_1",340,180.01641,4.401,11,1639,NA,180.01641,4.401,FALSE,NA,"F340_S1","Feature 340
180.02 m/z @ 4.4 min",NA,68,3.7843137254902
"763","feat_345_spec_1",345,181.00049,3.654,18,390,NA,181.00049,3.654,FALSE,NA,"F345_S1","Feature 345
181 m/z @ 3.65 min",NA,69,4.47058823529412
"764","feat_345_spec_2",345,181.00049,3.654,14,390,NA,181.00049,3.654,FALSE,NA,"F345_S2","Feature 345
181 m/z @ 3.65 min",NA,70,4.07843137254902
"765","feat_347_spec_1",347,181.00052,3.711,18,414,NA,181.00052,3.711,FALSE,NA,"F347_S1","Feature 347
181 m/z @ 3.71 min",NA,69,4.47058823529412
"766","feat_347_spec_2",347,181.00052,3.711,14,414,NA,181.00052,3.711,FALSE,NA,"F347_S2","Feature 347
181 m/z @ 3.71 min",NA,70,4.07843137254902
"783","feat_356_spec_1",356,242.05193,5.695,22,1269,"[Similar to: NP-003800; ΔMass: -14.0670 Da]",242.05193,5.695,FALSE,NA,"F356_S1","[Similar to: NP-003800; ΔMass: -14.0670 Da]
242.05 m/z @ 5.7 min",NA,2,4.86274509803922
"785","feat_356_spec_3",356,242.05193,5.695,22,1269,"[Similar to: NP-003800; ΔMass: -14.0670 Da]",242.05193,5.695,FALSE,NA,"F356_S3","[Similar to: NP-003800; ΔMass: -14.0670 Da]
242.05 m/z @ 5.7 min",NA,2,4.86274509803922
"786","feat_358_spec_1",358,182.03205,5.615,18,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S1","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",2,7.05882352941176
"787","feat_358_spec_2",358,182.03205,5.615,19,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S2","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",71,7.19607843137255
"788","feat_358_spec_3",358,182.03205,5.615,14,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S3","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",2,6.50980392156863
"789","feat_358_spec_4",358,182.03205,5.615,13,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S4","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",71,6.37254901960784
