"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort"
"C0101-P001NS01","Cow 01","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0102-P001NS01","Cow 01","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow"
"C0102-S001NS01","Cow 01","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow"
"C0102-W001NS01","Cow 01","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow"
"C0103-P001NS01","Cow 01","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0103-S001NS01","Cow 01","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow"
"C0103-V401NS01","Cow 01","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0103-W001NS01","Cow 01","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow"
"C0104-V401NS01","Cow 01","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow"
"C0104-W001NS01","Cow 01","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow"
"C0105-P001NS01","Cow 01","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow"
"C0105-W001NS01","Cow 01","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow"
"C0106-F001NS01","Cow 01","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0106-P001NS01","Cow 01","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0106-S001NS01","Cow 01","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0107-F001NS01","Cow 01","Farm 07","Oct","2019-10-01","NASAL SWAB","Autumn","Year 1","Cow"
"C0107-P001NS01","Cow 01","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow"
"C0107-S001NS01","Cow 01","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow"
"C0107-V401NS01","Cow 01","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow"
"C0108-F001NS01","Cow 01","Farm 08","Sep","2019-09-26","NASAL SWAB","Autumn","Year 1","Cow"
"C0108-P001NS01","Cow 01","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0108-S001NS01","Cow 01","Farm 08","Jun","2019-06-26","NASAL SWAB","Summer","Year 1","Cow"
"C0109-F001NS01","Cow 01","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0109-P001NS01","Cow 01","Farm 09","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow"
"C0109-S001NS01","Cow 01","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0110-F001NS01","Cow 01","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0110-P001NS01","Cow 01","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow"
"C0110-S001NS01","Cow 01","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0110-V401NS01","Cow 01","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow"
"C0111-F001NS01","Cow 01","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow"
"C0111-P001NS01","Cow 01","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow"
"C0111-S001NS01","Cow 01","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow"
"C0111-V401NS01","Cow 01","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Cow"
"C0112-P001NS01","Cow 01","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow"
"C0112-S001NS01","Cow 01","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow"
"C0112-V301NS01","Cow 01","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow"
"C0112-V401NS01","Cow 01","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow"
"C0114-P001NS01","Cow 01","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow"
"C0114-S001NS01","Cow 01","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow"
"C0114-V301NS01","Cow 01","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0114-V401NS01","Cow 01","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0115-P001NS01","Cow 01","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow"
"C0115-S001NS01","Cow 01","Farm 15","Aug","2019-08-22","NASAL SWAB","Summer","Year 1","Cow"
"C0115-V301NS01","Cow 01","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow"
"C0115-V401NS01","Cow 01","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0116-F001NS01","Cow 01","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow"
"C0116-P001NS01","Cow 01","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow"
"C0116-V301NS01","Cow 01","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow"
"C0117-F001NS01","Cow 01","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0117-S001NS01","Cow 01","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0117-V301NS01","Cow 01","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0119-S001NS01","Cow 01","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow"
"C0120-S001NS01","Cow 01","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0120-V201NS01","Cow 01","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Cow"
"C0120-V301NS01","Cow 01","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow"
"C0121-F001NS01","Cow 01","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0121-S001NS01","Cow 01","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow"
"C0121-V301NS01","Cow 01","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Cow"
"C0122-S001NS01","Cow 01","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0122-V201NS01","Cow 01","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow"
"C0122-V301NS01","Cow 01","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow"
"C0123-S001NS01","Cow 01","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow"
"C0123-V201NS01","Cow 01","Farm 23","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow"
"C0123-V301NS01","Cow 01","Farm 23","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Cow"
"C0124-S001NS01","Cow 01","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Cow"
"C0124-V201NS01","Cow 01","Farm 24","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow"
"C0124-V301NS01","Cow 01","Farm 24","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Cow"
"C0125-S001NS01","Cow 01","Farm 25","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow"
"C0125-V201NS01","Cow 01","Farm 25","Nov","2019-11-26","NASAL SWAB","Autumn","Year 1","Cow"
"C0125-V301NS01","Cow 01","Farm 25","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow"
"C0126-S001NS01","Cow 01","Farm 26","Sep","2019-09-05","NASAL SWAB","Autumn","Year 1","Cow"
"C0126-V201NS01","Cow 01","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0126-V301NS01","Cow 01","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Cow"
"C0127-S001NS01","Cow 01","Farm 27","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow"
"C0127-V201NS01","Cow 01","Farm 27","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0127-V301NS01","Cow 01","Farm 27","Feb","2020-02-21","NASAL SWAB","Winter","Year 1","Cow"
"C0128-S001NS01","Cow 01","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow"
"C0128-V201NS01","Cow 01","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow"
"C0129-S001NS01","Cow 01","Farm 29","Sep","2019-09-17","NASAL SWAB","Autumn","Year 1","Cow"
"C0129-V201NS01","Cow 01","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow"
"C0133-V101NS01","Cow 01","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow"
"C0133-V201NS01","Cow 01","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Cow"
"C0134-V101NS01","Cow 01","Farm 34","Nov","2019-11-07","NASAL SWAB","Autumn","Year 1","Cow"
"C0134-V201NS01","Cow 01","Farm 34","Jan","2020-01-28","NASAL SWAB","Winter","Year 1","Cow"
"C0135-V101NS01","Cow 01","Farm 35","Dec","2019-12-11","NASAL SWAB","Winter","Year 1","Cow"
"C0136-V101NS01","Cow 01","Farm 36","Nov","2019-11-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0136-V201NS01","Cow 01","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Cow"
"C0137-V101NS01","Cow 01","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow"
"C0138-V101NS01","Cow 01","Farm 38","Jan","2020-01-14","NASAL SWAB","Winter","Year 1","Cow"
"C0139-V101NS01","Cow 01","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Cow"
"C0141-V101NS01","Cow 01","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Cow"
"C0142-V101NS01","Cow 01","Farm 42","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow"
"C0143-V101NS01","Cow 01","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Cow"
"C0201-P001NS01","Cow 02","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0202-P001NS01","Cow 02","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow"
"C0202-S001NS01","Cow 02","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow"
"C0202-W001NS01","Cow 02","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow"
"C0203-P001NS01","Cow 02","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0203-S001NS01","Cow 02","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow"
"C0203-V401NS01","Cow 02","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0203-W001NS01","Cow 02","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow"
"C0204-P001NS01","Cow 02","Farm 04","Jun","2019-06-03","NASAL SWAB","Summer","Year 1","Cow"
"C0204-S001NS01","Cow 02","Farm 04","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Cow"
"C0204-V401NS01","Cow 02","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow"
"C0204-W001NS01","Cow 02","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow"
"C0205-P001NS01","Cow 02","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow"
"C0205-S001NS01","Cow 02","Farm 05","Sep","2019-09-11","NASAL SWAB","Autumn","Year 1","Cow"
"C0205-W001NS01","Cow 02","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow"
"C0206-F001NS01","Cow 02","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0206-P001NS01","Cow 02","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0206-S001NS01","Cow 02","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0207-F001NS01","Cow 02","Farm 07","Oct","2019-10-01","NASAL SWAB","Autumn","Year 1","Cow"
"C0207-P001NS01","Cow 02","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow"
"C0207-S001NS01","Cow 02","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow"
"C0207-V401NS01","Cow 02","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow"
"C0208-P001NS01","Cow 02","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0209-F001NS01","Cow 02","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0209-S001NS01","Cow 02","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0210-F001NS01","Cow 02","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0210-P001NS01","Cow 02","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow"
"C0210-S001NS01","Cow 02","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0210-V401NS01","Cow 02","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow"
"C0211-F001NS01","Cow 02","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow"
"C0211-P001NS01","Cow 02","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow"
"C0211-S001NS01","Cow 02","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow"
"C0212-P001NS01","Cow 02","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow"
"C0212-S001NS01","Cow 02","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow"
"C0212-V301NS01","Cow 02","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow"
"C0212-V401NS01","Cow 02","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow"
"C0214-P001NS01","Cow 02","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow"
"C0214-S001NS01","Cow 02","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow"
"C0214-V301NS01","Cow 02","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0214-V401NS01","Cow 02","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0215-P001NS01","Cow 02","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow"
"C0215-S001NS01","Cow 02","Farm 15","Aug","2019-08-22","NASAL SWAB","Summer","Year 1","Cow"
"C0215-V301NS01","Cow 02","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow"
"C0215-V401NS01","Cow 02","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0216-F001NS01","Cow 02","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow"
"C0216-P001NS01","Cow 02","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow"
"C0216-V301NS01","Cow 02","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow"
"C0217-F001NS01","Cow 02","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0217-S001NS01","Cow 02","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0217-V301NS01","Cow 02","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0219-S001NS01","Cow 02","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow"
"C0220-S001NS01","Cow 02","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0220-V201NS01","Cow 02","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Cow"
"C0220-V301NS01","Cow 02","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow"
"C0221-F001NS01","Cow 02","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0221-S001NS01","Cow 02","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow"
"C0221-V301NS01","Cow 02","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Cow"
"C0222-S001NS01","Cow 02","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0222-V201NS01","Cow 02","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow"
"C0222-V301NS01","Cow 02","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow"
"C0223-S001NS01","Cow 02","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow"
"C0223-V201NS01","Cow 02","Farm 23","Nov","2019-11-04","NASAL SWAB","Autumn","Year 1","Cow"
"C0223-V301NS01","Cow 02","Farm 23","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Cow"
"C0224-S001NS01","Cow 02","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Cow"
"C0224-V201NS01","Cow 02","Farm 24","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow"
"C0224-V301NS01","Cow 02","Farm 24","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Cow"
"C0225-S001NS01","Cow 02","Farm 25","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow"
"C0225-V201NS01","Cow 02","Farm 25","Nov","2019-11-26","NASAL SWAB","Autumn","Year 1","Cow"
"C0225-V301NS01","Cow 02","Farm 25","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow"
"C0226-V201NS01","Cow 02","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0226-V301NS01","Cow 02","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Cow"
"C0227-S001NS01","Cow 02","Farm 27","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Cow"
"C0227-V201NS01","Cow 02","Farm 27","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0227-V301NS01","Cow 02","Farm 27","Feb","2020-02-21","NASAL SWAB","Winter","Year 1","Cow"
"C0228-S001NS01","Cow 02","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow"
"C0228-V201NS01","Cow 02","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow"
"C0229-S001NS01","Cow 02","Farm 29","Sep","2019-09-17","NASAL SWAB","Autumn","Year 1","Cow"
"C0229-V201NS01","Cow 02","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow"
"C0233-V101NS01","Cow 02","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow"
"C0233-V201NS01","Cow 02","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Cow"
"C0234-V101NS01","Cow 02","Farm 34","Nov","2019-11-07","NASAL SWAB","Autumn","Year 1","Cow"
"C0234-V201NS01","Cow 02","Farm 34","Jan","2020-01-28","NASAL SWAB","Winter","Year 1","Cow"
"C0235-V101NS01","Cow 02","Farm 35","Dec","2019-12-11","NASAL SWAB","Winter","Year 1","Cow"
"C0236-V101NS01","Cow 02","Farm 36","Nov","2019-11-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0236-V201NS01","Cow 02","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Cow"
"C0237-V101NS01","Cow 02","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow"
"C0238-V101NS01","Cow 02","Farm 38","Jan","2020-01-14","NASAL SWAB","Winter","Year 1","Cow"
"C0239-V101NS01","Cow 02","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Cow"
"C0241-V101NS01","Cow 02","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Cow"
"C0242-V101NS01","Cow 02","Farm 42","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow"
"C0243-V101NS01","Cow 02","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Cow"
"C0301-P001NS01","Cow 03","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0302-P001NS01","Cow 03","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow"
"C0302-S001NS01","Cow 03","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow"
"C0302-V401NS01","Cow 03","Farm 02","Nov","2019-11-27","NASAL SWAB","Autumn","Year 1","Cow"
"C0302-W001NS01","Cow 03","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow"
"C0303-P001NS01","Cow 03","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow"
"C0303-S001NS01","Cow 03","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow"
"C0303-V401NS01","Cow 03","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0303-W001NS01","Cow 03","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow"
"C0304-P001NS01","Cow 03","Farm 04","Jun","2019-06-03","NASAL SWAB","Summer","Year 1","Cow"
"C0304-S001NS01","Cow 03","Farm 04","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Cow"
"C0304-V401NS01","Cow 03","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow"
"C0304-W001NS01","Cow 03","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow"
"C0305-V401NS01","Cow 03","Farm 05","Dec","2019-12-04","NASAL SWAB","Winter","Year 1","Cow"
"C0305-W001NS01","Cow 03","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow"
"C0306-P001NS01","Cow 03","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0306-S001NS01","Cow 03","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0306-V401NS01","Cow 03","Farm 06","Dec","2019-12-18","NASAL SWAB","Winter","Year 1","Cow"
"C0307-P001NS01","Cow 03","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow"
"C0307-S001NS01","Cow 03","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow"
"C0307-V401NS01","Cow 03","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow"
"C0308-F001NS01","Cow 03","Farm 08","Sep","2019-09-26","NASAL SWAB","Autumn","Year 1","Cow"
"C0308-P001NS01","Cow 03","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow"
"C0309-F001NS01","Cow 03","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0309-P001NS01","Cow 03","Farm 09","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow"
"C0309-S001NS01","Cow 03","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0310-F001NS01","Cow 03","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow"
"C0310-P001NS01","Cow 03","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow"
"C0310-S001NS01","Cow 03","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow"
"C0310-V401NS01","Cow 03","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow"
"C0311-F001NS01","Cow 03","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow"
"C0311-P001NS01","Cow 03","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow"
"C0311-S001NS01","Cow 03","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow"
"C0311-V401NS01","Cow 03","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Cow"
"C0312-P001NS01","Cow 03","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow"
"C0312-S001NS01","Cow 03","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow"
"C0312-V301NS01","Cow 03","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow"
"C0312-V401NS01","Cow 03","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow"
"C0314-P001NS01","Cow 03","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow"
"C0314-S001NS01","Cow 03","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow"
"C0314-V301NS01","Cow 03","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0314-V401NS01","Cow 03","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0315-P001NS01","Cow 03","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow"
"C0315-V301NS01","Cow 03","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow"
"C0315-V401NS01","Cow 03","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow"
"C0316-F001NS01","Cow 03","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow"
"C0316-P001NS01","Cow 03","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow"
"C0316-V301NS01","Cow 03","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow"
"C0317-F001NS01","Cow 03","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow"
"C0317-S001NS01","Cow 03","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow"
"C0317-V301NS01","Cow 03","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow"
"C0319-S001NS01","Cow 03","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow"
"C0320-S001NS01","Cow 03","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0321-F001NS01","Cow 03","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow"
"C0321-S001NS01","Cow 03","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow"
"C0322-S001NS01","Cow 03","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow"
"C0322-V201NS01","Cow 03","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow"
"C0322-V301NS01","Cow 03","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow"
"C0323-S001NS01","Cow 03","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow"
"C0323-V201NS01","Cow 03","Farm 23","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow"
